UNITID,year,total_enrollment,undergrad_enrollment,grad_enrollment,XEYTOTLT_total
123509,2014,16434.0,16434.0,,R
123527,2014,16452.0,16452.0,,R
123554,2014,4709.0,3218.0,1491.0,R
123563,2014,14392.0,14392.0,,R
123572,2014,9550.0,8692.0,858.0,R
123581,2014,322.0,322.0,,R
123633,2014,860.0,164.0,696.0,R
123642,2014,524.0,524.0,,R
123651,2014,2945.0,2590.0,355.0,R
123679,2014,1367.0,1367.0,,R
123800,2014,26145.0,26145.0,,R
123855,2014,110.0,,110.0,R
123916,2014,161.0,,161.0,R
123943,2014,402.0,,402.0,R
123952,2014,521.0,257.0,264.0,R
123961,2014,46174.0,20336.0,25838.0,R
123970,2014,1266.0,,1266.0,R
124113,2014,11031.0,11031.0,,R
124283,2014,383.0,,383.0,R
124292,2014,373.0,373.0,,R
124344,2014,939.0,939.0,,R
124487,2014,371.0,371.0,,R
124681,2014,5439.0,5439.0,,R
124706,2014,1369.0,1369.0,,R
124779,2014,51.0,51.0,,R
124937,2014,1207.0,1207.0,,R
125028,2014,18397.0,18397.0,,R
125037,2014,108.0,,108.0,R
125082,2014,154.0,154.0,,R
125091,2014,15480.0,15480.0,,R
125170,2014,11256.0,11256.0,,R
125231,2014,78598.0,13850.0,64748.0,R
125310,2014,59.0,59.0,,R
125462,2014,4779.0,4779.0,,R
125471,2014,16622.0,16622.0,,R
125499,2014,16580.0,16580.0,,R
125532,2014,1987.0,1987.0,,R
125718,2014,169.0,,169.0,R
125727,2014,1373.0,1373.0,,R
125763,2014,2585.0,1744.0,841.0,R
125897,2014,2581.0,2186.0,395.0,R
126012,2014,438.0,,438.0,R
126030,2014,459.0,,459.0,R
126049,2014,1089.0,,1089.0,R
126076,2014,273.0,273.0,,R
126119,2014,9769.0,9769.0,,R
126164,2014,134.0,134.0,,R
126182,2014,4142.0,2921.0,1221.0,R
126207,2014,7253.0,7253.0,,R
126289,2014,19770.0,19770.0,,R
126359,2014,806.0,806.0,,R
126401,2014,606.0,606.0,,R
126562,2014,28411.0,16854.0,11557.0,R
126580,2014,14881.0,11921.0,2960.0,R
126605,2014,1038.0,1038.0,,R
126614,2014,36006.0,29202.0,6804.0,R
126669,2014,7217.0,6684.0,533.0,R
126678,2014,2450.0,2339.0,111.0,R
126687,2014,1375.0,1375.0,,R
126702,2014,2669.0,2669.0,,R
126711,2014,8742.0,8742.0,,R
126748,2014,1778.0,1778.0,,R
126775,2014,6712.0,4477.0,2235.0,R
126784,2014,297.0,297.0,,R
126818,2014,34814.0,25878.0,8936.0,R
126827,2014,2886.0,1832.0,1054.0,R
126854,2014,109.0,109.0,,R
126863,2014,11956.0,11956.0,,R
126872,2014,700.0,700.0,,R
126915,2014,840.0,840.0,,R
126924,2014,118.0,118.0,,R
126942,2014,15481.0,15481.0,,R
126951,2014,1880.0,1880.0,,R
126979,2014,1126.0,,1126.0,R
127024,2014,752.0,752.0,,R
127060,2014,13902.0,5983.0,7919.0,R
127158,2014,4151.0,4151.0,,R
127185,2014,4401.0,4364.0,37.0,R
127200,2014,31470.0,31470.0,,R
127219,2014,75.0,75.0,,R
127228,2014,259.0,259.0,,R
127273,2014,391.0,,391.0,R
127316,2014,382.0,382.0,,R
127389,2014,1161.0,1161.0,,R
127556,2014,11330.0,11089.0,241.0,R
127565,2014,27949.0,27414.0,535.0,R
