UNITID,year,F2D01,F2D16,F2A02,F2A03,total_expenses,change_in_net_assets,expendable_net_assets,assets_to_liabilities,operating_margin,expenses_to_revenue,endowment_boy,endowment_eoy,q_F2D01,q_F2D16,q_F2A02,q_F2A03,q_total_expenses,q_change_in_net_assets,q_expendable_net_assets,q_endowment_eoy,reported_field_count,all_fields_reported
101541,2014,2430308,12160039,33813408.0,14887044.0,9197223.0,1666777.0,7262672.0,2.271331232714836,0.13707003735761045,0.756348149870243,15093396.0,16646068.0,True,True,True,True,True,True,True,True,8,True
101541,2015,2480141,10220000,33013776.0,15856467.0,9724333.0,-1769055.0,5705246.0,2.082038577698298,-0.17309735812133073,0.9515002935420743,16646068.0,15369581.0,True,True,True,True,True,True,True,True,8,True
101541,2016,2169890,7693809,32475770.0,17063219.0,9438567.0,-1744758.0,4189829.0,1.9032616295905245,-0.2267742804636819,1.2267742804636819,15369581.0,14072037.0,True,True,True,True,True,True,True,True,8,True
101541,2017,2517019,12635566,33811732.0,17183418.0,9523190.0,1215763.0,3319245.0,1.9676953677085665,0.09621753390390268,0.7536813151068975,14072037.0,16146614.0,True,True,True,True,True,True,True,True,8,True
101541,2018,2353735,10855209,32317484.0,16183036.0,9895262.0,-493866.0,1952166.0,1.9969975967426632,-0.04549576152794479,0.9115680775929786,16146614.0,15388964.0,True,True,True,True,True,True,True,True,8,True
101541,2019,2012505,8967188,30180424.0,16210832.0,9634073.0,-2164856.0,-1279942.0,1.8617442954192605,-0.24141971819928387,1.0743694678866997,15388964.0,15479806.0,True,True,True,True,True,True,False,True,7,False
101541,2020,1884907,9673439,31270049.0,16701634.0,9415776.0,257663.0,1353762.0,1.8722748325104,0.026636132196626246,0.9733638678033738,15479806.0,14047540.0,True,True,True,True,True,True,True,True,8,True
101675,2014,8468101,29801209,95776523.0,40344970.0,27892046.0,1909163.0,53249482.0,2.3739396261789265,0.06406327340612256,0.9359367265938775,16954732.0,18354136.0,True,True,True,True,True,True,True,True,8,True
101675,2015,8439251,29568650,96140639.0,39928045.0,28787609.0,781041.0,54030523.0,2.407847391476342,0.02641449643456837,0.9735855035654316,18354136.0,19080999.0,True,True,True,True,True,True,True,True,8,True
101675,2016,9714075,31076349,95670423.0,39238960.0,30715552.0,360797.0,54249392.0,2.4381487939537645,0.011610018924681274,0.9883899810753187,19080999.0,19334286.0,True,True,True,True,True,True,True,True,8,True
101675,2017,9682563,33174313,94754600.0,37518282.0,31452545.0,1721768.0,55054247.0,2.525558073261457,0.051900637701223835,0.9480993622987761,19334286.0,20938945.0,True,True,True,True,True,True,True,True,8,True
101675,2018,8330074,31164648,93653829.0,36169273.0,30916410.0,248238.0,55302485.0,2.5893201945198068,0.00796537153251338,0.9920346284674866,20938945.0,21675239.0,True,True,True,True,True,True,True,True,8,True
101675,2019,7463738,31247887,92185920.0,34648126.0,31194649.0,53238.0,54826460.0,2.6606322085067458,0.0017037311994887846,0.9982962688005113,21675239.0,23273985.0,True,True,True,True,True,True,True,True,8,True
101675,2020,8096319,34380962,86317354.0,25569275.0,31170677.0,3210285.0,39184384.0,3.375823287910979,0.09337391431920956,0.9066260856807904,23273985.0,24402543.0,True,True,True,True,True,True,True,True,8,True
101675,2021,6580408,47667401,96100201.0,18185354.0,30500633.0,17166768.0,79471623.0,5.284483381516797,0.3601364378980931,0.6398635621019069,24402543.0,29292887.0,True,True,True,True,True,True,True,True,8,True
101675,2022,6744477,42361714,95783028.0,17619082.0,42112615.0,249099.0,78163946.0,5.436323413444582,0.0058802861470619435,0.9941197138529381,29292887.0,25642204.0,True,True,True,True,True,True,True,True,8,True
101675,2023,5814520,32315594,97943263.0,19990785.0,29940132.0,477763.0,77975478.0,4.899420558022109,0.014784286496482163,0.9264917736000768,25642204.0,27539903.0,True,True,True,True,True,True,True,True,8,True
101675,2024,13726743,32071605,99847388.0,18718069.0,28894764.0,375492.0,81129319.0,5.334278231370981,0.011707926684679485,0.9009453689642286,27539903.0,30341252.0,True,True,True,True,True,True,True,True,8,True
101693,2014,14035442,28843556,68396401.0,33290074.0,26690187.0,2153369.0,16383895.0,2.0545583947935953,0.07465684882959646,0.9253431511704036,20199568.0,22102795.0,True,True,True,True,True,True,True,True,8,True
101693,2015,13986371,26733419,64575309.0,31835674.0,29100111.0,-2366692.0,13924560.0,2.0283945928080556,-0.08852934224387835,1.0885293422438784,22102795.0,21797072.0,True,True,True,True,True,True,True,True,8,True
101693,2016,14236082,27347872,66756140.0,35833052.0,29164419.0,-1816547.0,11767060.0,1.8629766730447632,-0.06642370565431928,1.0664237056543193,21797072.0,20415369.0,True,True,True,True,True,True,True,True,8,True
101693,2017,14000343,29277726,66682232.0,34156396.0,28492888.0,1602748.0,13047386.0,1.9522619423899408,0.05474291275217208,0.9731933415867066,20415369.0,21912486.0,True,True,True,True,True,True,True,True,8,True
101693,2018,13474619,29181795,68897437.0,36354646.0,29164840.0,16955.0,12941058.0,1.8951480644317098,0.0005810129226115117,0.9994189870773885,21912486.0,22606173.0,True,True,True,True,True,True,True,True,8,True
101693,2019,14308434,27842301,69294728.0,40017873.0,31108237.0,-3265936.0,10417831.0,1.7315944802963417,-0.1173012244929038,1.1173012244929037,22606173.0,17303532.0,True,True,True,True,True,True,True,True,8,True
101693,2020,14284898,30655455,69808365.0,37202523.0,27326468.0,3328987.0,13809003.0,1.8764416864952949,0.10859362550645554,0.8914063744935444,17303532.0,17265742.0,True,True,True,True,True,True,True,True,8,True
101693,2021,14622526,34990340,74039844.0,36292721.0,29849059.0,5141281.0,18408657.0,2.040074206615701,0.14693429672303843,0.8530657032769616,17265742.0,20155794.0,True,True,True,True,True,True,True,True,8,True
101693,2022,13954852,28065565,71415413.0,34715829.0,29113105.0,-1047540.0,12610384.0,2.0571426653818348,-0.037324742972393396,1.0373247429723933,20155794.0,22082866.0,True,True,True,True,True,True,True,True,8,True
101693,2023,13537463,34649294,75129001.0,33947214.0,30167091.0,4482203.0,17233406.0,2.2131124221268936,0.12935914365239304,0.870640856347607,22082866.0,23843738.0,True,True,True,True,True,True,True,True,8,True
101693,2024,14003121,31173357,73653262.0,32965045.0,31666927.0,-493570.0,17070461.0,2.234283678362945,-0.01583307181193222,1.0158330718119322,23843738.0,25213200.0,True,True,True,True,True,True,True,True,8,True
101912,2014,21631958,55327159,90161674.0,20654626.0,51670636.0,3656523.0,66325876.0,4.365204869843685,0.0660891154740116,0.9339108845259884,10333321.0,12014468.0,True,True,True,True,True,True,True,True,8,True
